Z	Name	A	Configuration
66	Dy	164	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(10)6s(2)
67	Ho	165	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(11)6s(2)
68	Er	166	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(12)6s(2)
69	Tm	169	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(13)6s(2)
70	Yb	174	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)6s(2)
71	Lu	175	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(1)6s(2)
72	Hf	180	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(2)6s(2)
73	Ta	181	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(3)6s(2)
74	W	184	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(4)6s(2)
75	Re	187	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(5)6s(2)
76	Os	192	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(6)6s(2)
77	Ir	193	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(7)6s(2)
78	Pt	195	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(9)6s(1)
79	Au	197	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(1)
80	Hg	202	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)
81	Tl	205	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(1)
82	Pb	208	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(2)
83	Bi	209	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(3)
84	Po	209*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(4)
85	At	210*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(5)
86	Rn	222*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)
87	Fr	223*	1s(2)2s(2)2p(6)3s(2)3p(6)3d(10)4s(2)4p(6)4d(10)5s(2)5p(6)4f(14)5d(10)6s(2)6p(6)7s(1)
